Model,Image,Predicted VIN,Ground Truth,Exact Match,Confidence,Processing Time
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2B40SA605686_train_328-VIN_-_SAL1A2B40SA605686_.jpg,,SAL1A2B40SA605686,False,0.0,0.004523038864135742
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2A44SA606809_train_33-VIN_-_SAL1A2A44SA606809_.jpg,,SAL1A2A44SA606809,False,0.0,0.005445718765258789
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2A45SA606026_train_37-VIN_-_SAL1A2A45SA606026_.jpg,,SAL1A2A45SA606026,False,0.0,0.004540920257568359
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2AWXSA606136_train_312-VIN_-_SAL1A2AWXSA606136_.jpg,,SAL1A2AWXSA606136,False,0.0,0.004823923110961914
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2AW3SA605913_train_180-VIN_-_SAL1A2AW3SA605913_2.jpg,,SAL1A2AW3SA605913,False,0.0,0.006864786148071289
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2B40SA605672_train_327-VIN_-_SAL1A2B40SA605672_.jpg,,SAL1A2B40SA605672,False,0.0,0.004981040954589844
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2BU4SA606114_train_489-VIN_-_SAL1A2BU4SA606114_.jpg,,SAL1A2BU4SA606114,False,0.0,0.005198240280151367
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2BM0VA605787_train_463-VIN_-_SAL1A2BM0VA605787_.jpg,,SAL1A2BM0VA605787,False,0.0,0.005561113357543945
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2AW7SA606787_train_257-VIN_-_SAL1A2AW7SA606787_.jpg,,SAL1A2AW7SA606787,False,0.0,0.004997730255126953
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL119F40SA605951_train_7-VIN_-_SAL119F40SA605951_.jpg,,SAL119F40SA605951,False,0.0,0.004981040954589844
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2AW7SA606773_train_256-VIN_-_SAL1A2AW7SA606773_.jpg,,SAL1A2AW7SA606773,False,0.0,0.004965066909790039
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2A40SA606595_train_9-VIN_-_SAL1A2A40SA606595_.jpg,,SAL1A2A40SA606595,False,0.0,0.005136966705322266
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2AW6SA606716_train_240-VIN_-_SAL1A2AW6SA606716_.jpg,,SAL1A2AW6SA606716,False,0.0,0.0047452449798583984
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2B96SA605798_train_456-VIN_-_SAL1A2B96SA605798_.jpg,,SAL1A2B96SA605798,False,0.0,0.004868030548095703
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2B49SA606769_train_439-VIN_-_SAL1A2B49SA606769_.jpg,,SAL1A2B49SA606769,False,0.0,0.004454135894775391
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2AW0SA606176_train_113-VIN_-_SAL1A2AW0SA606176_.jpg,,SAL1A2AW0SA606176,False,0.0,0.004446983337402344
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2AW5SA605623_train_209-VIN_-_SAL1A2AW5SA605623_.jpg,,SAL1A2AW5SA605623,False,0.0,0.004660367965698242
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2BU2SA605866_train_474-VIN_-_SAL1A2BU2SA605866_.jpg,,SAL1A2BU2SA605866,False,0.0,0.00518488883972168
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2AW4SA606858_train_204-VIN_-_SAL1A2AW4SA606858_.jpg,,SAL1A2AW4SA606858,False,0.0,0.005769968032836914
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2AW8SA605440_train_261-VIN_-_SAL1A2AW8SA605440_.jpg,,SAL1A2AW8SA605440,False,0.0,0.005276203155517578
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2AW4SA605466_train_192-VIN_-_SAL1A2AW4SA605466_.jpg,,SAL1A2AW4SA605466,False,0.0,0.00481104850769043
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2B46SA606681_train_406-VIN_-_SAL1A2B46SA606681_.jpg,,SAL1A2B46SA606681,False,0.0,0.004891157150268555
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2AWXSA606833_train_322-VIN_-_SAL1A2AWXSA606833_.jpg,,SAL1A2AWXSA606833,False,0.0,0.0044231414794921875
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2B45SA605411_train_384-VIN_-_SAL1A2B45SA605411_.jpg,,SAL1A2B45SA605411,False,0.0,0.0047512054443359375
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2AW6SA606053_train_235-VIN_-_SAL1A2AW6SA606053_.jpg,,SAL1A2AW6SA606053,False,0.0,0.004431009292602539
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2BU9SA606190_train_521-VIN_-_SAL1A2BU9SA606190_.jpg,,SAL1A2BU9SA606190,False,0.0,0.004491090774536133
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2BU7SA605927_train_504-VIN_-_SAL1A2BU7SA605927_.jpg,,SAL1A2BU7SA605927,False,0.0,0.004452943801879883
